重复,袋外人数,存在方案,胜出组数,胜出切点,胜出推荐孕周,胜出开发平均孕周,袋外平均检测孕周,袋外总体达标概率,袋外政策组最低均值,袋外政策组最低保守下限,袋外审计层最低均值,袋外审计层最低保守下限,袋外均值安全,袋外保守下限安全,袋外政策组人数,袋外审计层人数,袋外政策组均值,袋外政策组保守下限,袋外审计层均值,袋外审计层保守下限
1,96,True,1,,19,19.0,19.0,0.9583056851706769,0.9583056851706769,0.953435346586377,0.912392906616347,0.8968793488885842,True,False,96,26|26|28|16,0.958306,0.953435,0.968330|0.971376|0.963097|0.912393,0.963709|0.968595|0.957059|0.896879
2,101,True,2,35.720654,18|24,18.674157303370787,18.475247524752476,0.9527502505495908,0.951891955783821,0.947478788631847,0.9409380597547887,0.9282651123852332,True,True,93|8,43|19|18|21,0.951892|0.962728,0.947479|0.952973,0.959070|0.959167|0.944660|0.940938,0.954259|0.951823|0.934972|0.928265
3,102,True,2,35.242349,18|23,18.711610486891384,18.637254901960784,0.9520908596074775,0.9515625275740264,0.9454270928344614,0.9408002392745928,0.9278219986885627,True,True,89|13,32|28|19|23,0.951563|0.955708,0.947267|0.945427,0.956044|0.960715|0.940800|0.945419,0.951572|0.956114|0.927822|0.935302
4,96,True,2,35.294055,18|23,18.617977528089888,18.833333333333332,0.9522978019141854,0.951929148976496,0.9460386180357273,0.9407301164046283,0.9293436080073572,True,True,80|16,30|18|25|23,0.951929|0.954141,0.947005|0.946039,0.960059|0.960165|0.947963|0.940730,0.954057|0.954355|0.939362|0.929344
5,99,True,2,35.078934,18|22,18.56928838951311,18.646464646464647,0.9511703333044923,0.947806474209373,0.9365500581823583,0.9392187551868619,0.9280469387819342,True,True,83|16,25|17|31|26,0.951819|0.947806,0.947057|0.936550,0.963090|0.961085|0.946144|0.939219,0.958944|0.953202|0.938764|0.928047
6,94,True,2,35.365688,18|23,18.655430711610485,18.638297872340427,0.9529293830599778,0.9523458566378665,0.9473934148525454,0.942030470781714,0.9281367560489537,True,True,82|12,23|30|20|21,0.952346|0.956917,0.947393|0.947720,0.959620|0.958247|0.948702|0.942030,0.954862|0.952932|0.937850|0.928137
7,92,True,2,35.620454,18|23,18.617977528089888,18.652173913043477,0.9545144297288175,0.9528236401829521,0.9421866050430465,0.9407824780996881,0.9297048653464973,True,True,80|12,23|17|31|21,0.954768|0.952824,0.950625|0.942187,0.963510|0.962961|0.952511|0.940782,0.957589|0.957782|0.947067|0.929705
8,89,True,2,31.721771,17|20,18.56179775280899,18.48314606741573,0.9495547391055884,0.9439844670262979,0.9382990606123277,0.9403485600318745,0.9282551092855272,True,True,45|44,28|23|16|22,0.943984|0.955252,0.938299|0.947447,0.945172|0.950954|0.967872|0.940349,0.937756|0.942395|0.958852|0.928255
9,94,True,2,35.453559,18|23,18.59925093632959,18.74468085106383,0.9499125974315512,0.9496019368235011,0.9436273651166066,0.9419938695418677,0.9333685194966044,True,True,80|14,10|27|22|35,0.949602|0.951688,0.944538|0.943627,0.954634|0.959383|0.948742|0.941994,0.945864|0.953169|0.939639|0.933369
10,101,True,2,30.145370,17|19,18.45318352059925,18.445544554455445,0.9493651261798571,0.9463655525155575,0.9390699245785668,0.9292684327616318,0.9190930846486023,True,True,28|73,23|22|24|32,0.946366|0.950516,0.939070|0.944456,0.946105|0.965567|0.964433|0.929268,0.938800|0.958639|0.959002|0.919093
11,102,True,2,34.646074,18|23,18.692883895131086,18.931372549019606,0.9561853750217427,0.9558969659672597,0.9518933467829563,0.9536962807204995,0.9456746482135082,True,True,83|19,28|21|19|34,0.955897|0.957445,0.951893|0.952389,0.960287|0.953696|0.953794|0.955681,0.954753|0.945675|0.947316|0.948909
12,96,True,2,34.872387,18|24,18.696629213483146,19.25,0.957282909108478,0.9543728684024887,0.9500530189227099,0.9546668931843042,0.9464704863459369,True,True,76|20,21|16|24|35,0.954373|0.968341,0.950053|0.961102,0.962944|0.955055|0.954667|0.956698,0.956794|0.946470|0.948293|0.948700
13,99,True,2,34.178550,18|22,19.168539325842698,18.68686868686869,0.9583190613853212,0.9573926660341132,0.9531437234029164,0.9538256636705508,0.9445819913712058,True,True,82|17,37|19|28|15,0.957393|0.962788,0.953590|0.953144,0.959053|0.962944|0.953826|0.959037,0.954425|0.958664|0.944582|0.949197
14,95,True,2,35.054024,18|22,18.53932584269663,18.63157894736842,0.9505527542157857,0.9466517519974998,0.9355152129335945,0.9391481484815126,0.9284326630438462,True,True,80|15,28|17|27|23,0.951284|0.946652,0.946742|0.935515,0.956148|0.960536|0.948180|0.939148,0.950460|0.952495|0.940487|0.928433
15,100,True,2,35.489377,18|23,18.674157303370787,18.55,0.9518761756229003,0.9506630855730961,0.9462679405241505,0.9377376826744102,0.927097587877052,True,True,89|11,19|36|18|27,0.950663|0.961691,0.946268|0.952544,0.958871|0.958117|0.937738|0.948059,0.953576|0.953136|0.927098|0.937993
16,101,True,2,35.258594,18|24,18.674157303370787,19.06930693069307,0.9558060471546664,0.9529576219465008,0.9484322124250018,0.9506990494498174,0.9413445861498113,True,True,83|18,23|24|19|35,0.952958|0.968940,0.948432|0.962467,0.962617|0.958345|0.953762|0.950699,0.959215|0.951629|0.945824|0.941345
17,96,True,2,35.344351,18|23,18.711610486891384,18.677083333333332,0.9544678792234119,0.9538869125533033,0.9481671015835424,0.947558566890718,0.9372779774143098,True,True,83|13,26|16|34|20,0.953887|0.958177,0.949861|0.948167,0.958498|0.962048|0.951883|0.947559,0.952337|0.956653|0.945354|0.937278
18,97,True,2,36.044734,18|23,18.56179775280899,18.463917525773194,0.9494917863061826,0.9390042840260178,0.9277893339712133,0.930771000479088,0.9224638638613128,True,True,88|9,34|18|20|25,0.950564|0.939004,0.946448|0.927789,0.956368|0.958459|0.953133|0.930771,0.951089|0.950706|0.946252|0.922464
19,98,True,2,35.937176,18|24,18.719101123595507,18.6734693877551,0.9496844666561509,0.9491745699601722,0.9443830438598964,0.9397097162241274,0.9271679209900423,True,True,87|11,18|32|25|23,0.949175|0.953717,0.944383|0.944493,0.958252|0.957040|0.943278|0.939710,0.953106|0.951713|0.934277|0.927168
20,100,True,2,34.505326,18|23,18.655430711610485,19.25,0.958026802202684,0.9566236946688703,0.9522348438633149,0.9479517654739177,0.9379359710331274,True,True,75|25,20|23|23|34,0.956624|0.962236,0.952235|0.956450,0.963472|0.962262|0.947952|0.958774,0.958496|0.956246|0.937936|0.952728
21,86,True,2,35.380164,18|23,18.580524344569287,18.63953488372093,0.9538871927791595,0.9531115469127994,0.9490150401573106,0.950075040524042,0.939391843290852,True,True,75|11,27|15|21|23,0.953112|0.959176,0.949015|0.950349,0.958876|0.950075|0.950215|0.953870,0.953591|0.939392|0.942398|0.946138
22,97,True,2,36.547291,18|23,18.56179775280899,18.257731958762886,0.9498888321600862,0.9433597276668463,0.9243066407438425,0.9301978144183318,0.9139300965037243,True,True,92|5,31|23|27|16,0.950244|0.943360,0.945722|0.924307,0.958000|0.953114|0.949498|0.930198,0.953026|0.946559|0.941243|0.913930
23,90,True,1,,19,19.0,19.0,0.9575596916716844,0.9575596916716844,0.9528060216734686,0.9287246185958278,0.9145300752488562,True,True,90,21|28|21|20,0.957560,0.952806,0.965624|0.967700|0.963437|0.928725,0.959696|0.963567|0.956832|0.914530
24,94,True,1,,19,19.0,19.0,0.9605441990429563,0.9605441990429563,0.9560040072020695,0.931918800599338,0.9143132244515451,True,True,94,20|31|27|16,0.960544,0.956004,0.969966|0.967866|0.962122|0.931919,0.965412|0.962380|0.956156|0.914313
25,92,True,2,35.817449,18|23,18.580524344569287,18.48913043478261,0.9530945717903808,0.9457104953578155,0.9337217895348205,0.9420354773303472,0.9293785175424356,True,True,83|9,29|24|22|17,0.953895|0.945710,0.949528|0.933722,0.952953|0.958893|0.955502|0.942035,0.946204|0.952070|0.947826|0.929379
26,105,True,2,34.746042,18|23,18.580524344569287,19.142857142857142,0.9552336241496422,0.9549465264968996,0.9489039438478228,0.9439890137200978,0.9321917236372461,True,True,81|24,27|26|20|32,0.954947|0.956203,0.950693|0.948904,0.958378|0.959509|0.943989|0.956135,0.952424|0.955109|0.932192|0.949219
27,106,True,2,35.733752,18|23,18.56179775280899,18.660377358490567,0.9521081589571349,0.9473590175567886,0.9379541473317352,0.939899642072925,0.9299517600327973,True,True,92|14,20|32|27|27,0.952831|0.947359,0.948448|0.937954,0.960145|0.957562|0.951900|0.939900,0.954273|0.951299|0.944402|0.929952
28,91,True,1,,19,19.0,19.0,0.9575231364914002,0.9575231364914002,0.9525202031256452,0.92999209421691,0.9153553161714659,True,True,91,29|25|17|20,0.957523,0.952520,0.966729|0.969795|0.956162|0.929992,0.961643|0.964308|0.946278|0.915355
29,103,True,2,34.999822,18|23,18.56179775280899,18.92233009708738,0.9521082745369659,0.9512169536668363,0.9464074602163863,0.9428490164490094,0.9340132339492683,True,True,84|19,18|20|24|41,0.951217|0.956049,0.946407|0.946954,0.960022|0.961782|0.953929|0.942849,0.955196|0.956060|0.947187|0.934013
30,97,True,2,34.999822,18|23,18.56179775280899,18.77319587628866,0.954931402502484,0.953912828493695,0.9499214387974404,0.9499100297620312,0.942904094930449,True,True,82|15,25|14|31|27,0.953913|0.960500,0.949921|0.951388,0.960871|0.959160|0.949910|0.953005,0.956634|0.951339|0.942904|0.944420
31,89,True,1,,19,19.0,19.0,0.9544209197461745,0.9544209197461745,0.9491109234893705,0.9188049133309745,0.9077698248847793,True,True,89,27|18|20|24,0.954421,0.949111,0.968111|0.971512|0.963296|0.918805,0.963885|0.966568|0.956220|0.907770
32,92,True,2,35.733752,18|23,18.636704119850187,18.48913043478261,0.9541362620480232,0.9423282082526606,0.9287284618924803,0.9427251762818788,0.9309825440856354,True,True,83|9,15|33|24|20,0.955417|0.942328,0.950800|0.928728,0.966222|0.957068|0.952060|0.942725,0.960260|0.950760|0.942910|0.930983
33,90,True,2,35.647570,18|23,18.580524344569287,18.444444444444443,0.9508549070571489,0.948780505783509,0.9352997595048743,0.9414092386581931,0.9296674477932497,True,True,82|8,24|25|16|25,0.951057|0.948781,0.946233|0.935300,0.958943|0.956190|0.941409|0.943801,0.953220|0.949065|0.929667|0.933014
34,102,True,2,34.721552,18|23,18.917602996254683,18.833333333333332,0.9558693589131643,0.9552161202584356,0.9483580343071059,0.9517364688010882,0.9437103342504225,True,True,85|17,31|24|26|21,0.955216|0.959136,0.951370|0.948358,0.959143|0.957183|0.951736|0.954653,0.953271|0.951158|0.944599|0.943710
35,101,True,2,35.279930,18|23,18.56179775280899,18.99009900990099,0.9525380678775549,0.9516051173573966,0.946853778235279,0.9442216667972012,0.9353888922897629,True,True,81|20,27|20|21|33,0.951605|0.956317,0.946854|0.948146,0.963722|0.958729|0.945331|0.944222,0.959544|0.951127|0.936115|0.935389
36,98,True,2,35.698449,18|24,18.696629213483146,18.612244897959183,0.9559946596856042,0.9544276572518129,0.950005518268128,0.9486021851905567,0.9391108856953173,True,True,88|10,30|24|18|26,0.954428|0.969784,0.950006|0.967718,0.964881|0.954548|0.948602|0.952194,0.960551|0.947740|0.939111|0.941371
37,96,True,2,35.532582,18|24,19.01123595505618,18.6875,0.9555487462859907,0.9535140395228571,0.9493250056828161,0.9442006303522574,0.9362694234663745,True,True,85|11,25|22|32|17,0.953514|0.971271,0.949325|0.962620,0.961810|0.961329|0.944201|0.960222,0.957657|0.955951|0.936269|0.948259
38,97,True,2,35.078934,18|22,18.56928838951311,18.65979381443299,0.9506394922540057,0.9443878929940926,0.934229046646336,0.9306416847103871,0.9192747334041905,True,True,81|16,30|28|14|25,0.951874|0.944388,0.946634|0.934229,0.960004|0.963862|0.939838|0.930642,0.954252|0.959762|0.926192|0.919275
39,95,True,2,35.330226,18|23,18.692883895131086,18.68421052631579,0.9555564169286308,0.9553244815566482,0.9488989806301428,0.947833091388454,0.9385740031626439,True,True,82|13,21|22|25|27,0.955324|0.957019,0.951428|0.948899,0.959953|0.961641|0.954850|0.947833,0.955073|0.955194|0.949992|0.938574
40,95,True,2,35.698449,18|24,18.719101123595507,18.88421052631579,0.9561685533990276,0.9551426722355829,0.951358918779093,0.951562375169481,0.9430012179498963,True,True,81|14,24|20|24|27,0.955143|0.962104,0.951359|0.955200,0.960882|0.958691|0.954534|0.951562,0.955084|0.953043|0.948924|0.943001
41,103,True,2,35.591373,18|24,18.764044943820224,18.75728155339806,0.9509360613150019,0.9484216632889431,0.9435425471005817,0.9465799271408206,0.9360365985308254,True,True,90|13,21|18|33|31,0.948422|0.968343,0.943543|0.966101,0.957809|0.950699|0.950783|0.946580,0.951154|0.942055|0.943597|0.936037
42,93,True,2,35.591373,18|23,18.749063670411985,18.376344086021504,0.9531731040903126,0.9515350615785236,0.939167663260798,0.9433181547157554,0.9279522193354443,True,True,86|7,23|35|21|14,0.953306|0.951535,0.948753|0.939168,0.959547|0.957932|0.944830|0.943318,0.952912|0.952241|0.934835|0.927952
43,94,True,2,35.733752,18|24,18.696629213483146,18.574468085106382,0.9545331566769205,0.9537787038639832,0.9497165949942736,0.951374222871281,0.9416907421440311,True,True,85|9,23|21|30|20,0.953779|0.961659,0.949717|0.952585,0.959547|0.956044|0.951374|0.951919,0.954147|0.948654|0.944200|0.941691
44,98,True,2,35.294055,18|23,18.56179775280899,18.816326530612244,0.9536738766965766,0.9527133917529177,0.9483686405160652,0.9453786593635536,0.9373575865933494,True,True,82|16,26|21|25|26,0.952713|0.958596,0.948369|0.949438,0.958618|0.959067|0.945379|0.952350,0.952980|0.953033|0.937358|0.942423
45,98,True,2,35.344351,18|23,18.59925093632959,18.714285714285715,0.9528568725143203,0.9525951035268312,0.9455739148083512,0.9386015579449718,0.928398108983946,True,True,84|14,23|25|24|26,0.952595|0.954427,0.948215|0.945574,0.961079|0.957055|0.956048|0.938602,0.956178|0.950870|0.949321|0.928398
46,95,True,1,,19,19.0,19.0,0.956267907297247,0.956267907297247,0.9513658875582196,0.9277135583539331,0.9148856531318231,True,True,95,30|16|25|24,0.956268,0.951366,0.967499|0.966393|0.963722|0.927714,0.963183|0.961083|0.956724|0.914886
47,98,True,2,35.711953,18|24,18.674157303370787,18.612244897959183,0.9535084174222677,0.9520633254165102,0.9475805710141864,0.9425819242246153,0.9298226162484889,True,True,88|10,33|20|22|23,0.952063|0.966225,0.947581|0.959175,0.958869|0.960550|0.950489|0.942582,0.953687|0.955656|0.942413|0.929823
48,99,True,1,,19,19.0,19.0,0.9533396614256389,0.9533396614256389,0.947941871635828,0.9253581113612817,0.9141632946967423,True,True,99,23|22|21|33,0.953340,0.947942,0.970765|0.970538|0.960209|0.925358,0.965228|0.965275|0.954662|0.914163
49,101,True,2,35.591373,18|25,18.786516853932586,18.900990099009903,0.953608359366839,0.9504169799273118,0.9457135148430309,0.9447581205779607,0.9337586345815413,True,True,88|13,32|25|18|26,0.950417|0.975212,0.945714|0.973183,0.955726|0.955867|0.944758|0.954957,0.949709|0.949148|0.933759|0.943579
50,97,True,2,35.078934,18|23,18.56179775280899,18.824742268041238,0.9550987957599699,0.9547717947932539,0.9473880522672428,0.9517730784759967,0.9427932232280484,True,True,81|16,23|27|13|34,0.954772|0.956754,0.950121|0.947388,0.958488|0.957258|0.953316|0.951773,0.953462|0.949829|0.942830|0.942793
51,97,True,1,,19,19.0,19.0,0.9566000508652865,0.9566000508652865,0.9515682169915416,0.9207449469520125,0.9057915684183359,True,True,97,24|19|34|20,0.956600,0.951568,0.967667|0.969412|0.962720|0.920745,0.963576|0.963740|0.956664|0.905792
52,97,True,2,36.063873,18|24,18.674157303370787,18.432989690721648,0.9545277863554957,0.9542016247748348,0.9467796163607552,0.9483638729608662,0.935221420867375,True,True,90|7,21|24|35|17,0.954202|0.958721,0.950414|0.946780,0.959319|0.958455|0.951954|0.948364,0.954627|0.952623|0.946044|0.935221
53,100,True,2,35.467684,18|23,18.655430711610485,18.7,0.9545792426627056,0.954511499370063,0.9448771864191362,0.9452994961698229,0.9352654606975339,True,True,86|14,26|26|17|31,0.954511|0.954995,0.950073|0.944877,0.963709|0.958213|0.951980|0.945299,0.959139|0.953709|0.941844|0.935265
54,94,True,2,34.720320,18|22,18.674157303370787,18.680851063829788,0.9533181031532156,0.9438858313677856,0.9334094911086408,0.9416663111882798,0.9327055132728983,True,True,78|16,23|25|15|31,0.955253|0.943886,0.950878|0.933409,0.963425|0.960554|0.949841|0.941666,0.957053|0.957281|0.939486|0.932706
55,89,True,1,,19,19.0,19.0,0.9573601329381438,0.9573601329381438,0.9528591294312507,0.9310578644537366,0.9183835609790133,True,True,89,24|18|26|21,0.957360,0.952859,0.965511|0.969081|0.962965|0.931058,0.960411|0.964372|0.957773|0.918384
56,96,True,2,35.258594,18|23,18.674157303370787,18.885416666666668,0.9539684370796779,0.9535163301288938,0.946248439108332,0.9424550931305483,0.9314544394141925,True,True,79|17,18|22|27|29,0.953516|0.956069,0.948648|0.946248,0.960138|0.961979|0.955694|0.942455,0.953810|0.955672|0.949457|0.931454
57,104,True,2,35.782146,18|24,18.696629213483146,18.576923076923077,0.9490171774837179,0.948079464475087,0.943455865635512,0.937264690402247,0.9261241341051504,True,True,94|10,27|23|26|28,0.948079|0.957832,0.943456|0.948623,0.955052|0.956382|0.948892|0.937265,0.949223|0.949314|0.941308|0.926124
58,97,True,2,36.157500,18|24,18.674157303370787,18.432989690721648,0.948863064491685,0.9482221125273363,0.9434002042401838,0.9398146446249658,0.9294304246182077,True,True,90|7,24|17|25|31,0.948222|0.957104,0.943400|0.944019,0.958620|0.955697|0.946070|0.939815,0.952781|0.946450|0.938246|0.929430
59,101,True,2,35.717248,18|24,18.696629213483146,18.594059405940595,0.9554199193705049,0.9546171653037562,0.9504376216165245,0.948473665749018,0.9389134711025938,True,True,91|10,21|27|24|29,0.954617|0.962725,0.950438|0.954659,0.962305|0.959373|0.953342|0.948474,0.957374|0.952880|0.946144|0.938913
60,93,True,2,35.881003,18|24,18.674157303370787,18.516129032258064,0.9504289812999237,0.9493195201082455,0.9444268010662865,0.9393164765004998,0.9290342565261102,True,True,85|8,13|24|26|30,0.949320|0.962217,0.944427|0.952294,0.960454|0.961536|0.947986|0.939316,0.954237|0.955364|0.940270|0.929034
61,102,True,2,35.817449,18|23,18.56179775280899,18.49019607843137,0.9508920107243384,0.9486139241000684,0.9369564497616647,0.9420677697110963,0.9309874622735755,True,True,92|10,19|27|29|27,0.951140|0.948614,0.946612|0.936956,0.958840|0.955242|0.949850|0.942068,0.952359|0.947626|0.943539|0.930987
62,99,True,2,34.357014,18|22,18.719101123595507,18.727272727272727,0.9564933398403344,0.9477681996214484,0.9388954491730689,0.9461150013133949,0.9372693766985128,True,True,81|18,31|22|22|24,0.958432|0.947768,0.954715|0.938895,0.960896|0.963221|0.954884|0.946115,0.955549|0.958524|0.947282|0.937269
63,99,True,2,35.467684,18|24,18.674157303370787,18.78787878787879,0.9564521570755349,0.955064268207492,0.9508811561488083,0.9497924742333015,0.9392687306394499,True,True,86|13,26|31|15|27,0.955064|0.965634,0.950881|0.959370,0.963954|0.956026|0.949792|0.953417,0.958812|0.950298|0.939269|0.944169
64,95,True,2,36.157500,18|24,18.674157303370787,18.378947368421052,0.9510148071626081,0.9504151551637265,0.9456774686685164,0.9400580527456903,0.928248216829572,True,True,89|6,25|18|27|25,0.950415|0.959910,0.945677|0.946213,0.956665|0.962144|0.948509|0.940058,0.950935|0.955111|0.940283|0.928248
65,103,True,2,35.611753,18|23,18.59925093632959,18.679611650485437,0.9541509319104906,0.9508925545926028,0.9412677066747829,0.9491324036575053,0.9412732952524,True,True,89|14,20|17|28|38,0.954663|0.950893,0.950629|0.941268,0.960217|0.957736|0.954452|0.949132,0.954824|0.949644|0.948826|0.941273
66,103,True,2,35.875684,18|24,18.696629213483146,18.40776699029126,0.9525297723565718,0.9520001786206231,0.9476425092118368,0.9402988716553135,0.9309197363296134,True,True,96|7,31|28|18|26,0.952000|0.959793,0.947866|0.947643,0.958068|0.958263|0.951742|0.940299,0.951925|0.952682|0.941567|0.930920
67,91,True,2,35.170717,18|23,18.580524344569287,18.76923076923077,0.955584151353894,0.9550976237211233,0.949138000497066,0.9509627163372385,0.9443986000747061,True,True,77|14,21|19|26|25,0.955098|0.958260,0.951073|0.949138,0.961998|0.957042|0.950963|0.953895,0.957115|0.948205|0.944399|0.945588
68,103,True,1,,19,19.0,19.0,0.9548096358008272,0.9548096358008272,0.9497321012126424,0.9183962410540221,0.9056102856611183,True,True,103,30|29|20|24,0.954810,0.949732,0.970445|0.966877|0.957555|0.918396,0.966112|0.961814|0.949336|0.905610
69,104,True,2,29.752066,17|19,18.685393258426966,18.596153846153847,0.9487969983456371,0.9449259696489624,0.9389990316726198,0.91287837007328,0.9000717550273513,True,True,21|83,31|19|32|22,0.944926|0.949776,0.938999|0.943681,0.949384|0.968500|0.961224|0.912878,0.943258|0.963421|0.954955|0.900072
70,93,True,1,,19,19.0,19.0,0.9570606982501426,0.9570606982501426,0.9518907535450086,0.937955898687778,0.9264542507008509,True,True,93,27|22|11|33,0.957061,0.951891,0.966999|0.969530|0.965043|0.937956,0.961256|0.965852|0.956186|0.926454
71,93,True,2,35.467684,18|23,18.580524344569287,18.483870967741936,0.9522837293942229,0.9467831706526053,0.9348354471821391,0.9426287743846368,0.9308422154104754,True,True,84|9,23|29|22|19,0.952873|0.946783,0.948448|0.934835,0.960706|0.953338|0.950427|0.942629,0.955619|0.946366|0.941353|0.930842
72,99,True,1,,19,19.0,19.0,0.9578222483792311,0.9578222483792311,0.9529373368100036,0.9237768847739136,0.9104657218845718,True,True,99,32|19|25|23,0.957822,0.952937,0.968281|0.973329|0.963972|0.923777,0.963627|0.970319|0.958093|0.910466
73,101,True,2,35.290144,18|23,18.59925093632959,18.89108910891089,0.9540632566296874,0.9528190433052037,0.9484534457076164,0.9438833694129152,0.9326936387561857,True,True,83|18,30|21|17|33,0.952819|0.959800,0.948453|0.951229,0.959201|0.961064|0.943883|0.950182,0.953999|0.955745|0.932694|0.941832
74,99,True,2,34.920501,18|23,18.56179775280899,19.11111111111111,0.9566112230846132,0.9554252815295177,0.9510101118103335,0.9541183294759145,0.946924343486283,True,True,77|22,20|21|29|29,0.955425|0.960762,0.951010|0.952774,0.959209|0.958029|0.954118|0.956286,0.953376|0.951163|0.947099|0.946924
75,106,True,2,35.676651,18|24,18.674157303370787,18.735849056603772,0.9548362859666554,0.9537885245152052,0.949497516756581,0.9470807893759834,0.9372985546242893,True,True,93|13,26|26|21|33,0.953789|0.962332,0.949498|0.954276,0.961350|0.960227|0.947081|0.950392,0.956053|0.954151|0.937299|0.941837
76,109,True,2,35.937176,18|24,18.674157303370787,18.605504587155963,0.9515267475036638,0.9503922168007519,0.9459892875944341,0.9385323879381763,0.9271980990289403,True,True,98|11,29|22|32|26,0.950392|0.961634,0.945989|0.953872,0.961496|0.958422|0.948309|0.938532,0.955969|0.953613|0.941077|0.927198
77,99,True,1,,19,19.0,19.0,0.9557399028661157,0.9557399028661157,0.9510657694660699,0.9307791567381009,0.9188087421990966,True,True,99,21|36|17|25,0.955740,0.951066,0.968033|0.964881|0.957904|0.930779,0.963656|0.959887|0.947861|0.918809
78,102,True,2,35.170717,18|23,18.580524344569287,18.931372549019606,0.9546661659815443,0.9532898369330046,0.9441953543661319,0.9481776932280951,0.9398465689578039,True,True,83|19,24|31|18|29,0.954981|0.953290,0.951327|0.944195,0.958839|0.960115|0.950172|0.948178,0.954029|0.954492|0.943691|0.939847
79,91,True,2,34.721552,18|23,18.580524344569287,19.043956043956044,0.9574387388580997,0.9562180692469455,0.9521170195568983,0.9518998337973218,0.945507556915529,True,True,72|19,18|20|25|28,0.956218|0.962064,0.952117|0.954786,0.959787|0.962529|0.951900|0.957239,0.953826|0.956681|0.945508|0.948838
80,102,True,2,34.647306,18|23,18.767790262172284,19.029411764705884,0.9579997437005913,0.9567783755567165,0.952756731617174,0.9493562054370787,0.9404642461338301,True,True,81|21,21|27|23|31,0.956778|0.962711,0.952757|0.955185,0.963819|0.959714|0.949356|0.958977,0.959727|0.953676|0.940464|0.951596
81,101,True,2,34.212953,18|22,19.153558052434455,18.554455445544555,0.9580989832488318,0.9579378981153741,0.9542471715274335,0.9459214641709752,0.937411311874823,True,True,87|14,22|36|30|13,0.957938|0.959100,0.954247|0.954869,0.963636|0.964346|0.945921|0.959530,0.958771|0.961478|0.937411|0.955025
82,95,True,2,35.330226,18|23,18.711610486891384,18.57894736842105,0.9522690340235428,0.9520909333036923,0.9418158580912118,0.9421683897704888,0.928634643727216,True,True,84|11,31|27|18|19,0.952091|0.953629,0.947400|0.941816,0.954960|0.957334|0.950700|0.942168,0.948358|0.952084|0.939485|0.928635
83,103,True,2,30.891598,18|19,18.625468164794007,18.62135922330097,0.9499138225943494,0.9441903003052645,0.9375514527343122,0.926000633207985,0.9164100750495089,True,True,39|64,28|25|18|32,0.959306|0.944190,0.954797|0.937551,0.961168|0.963829|0.955592|0.926001,0.955773|0.958209|0.948173|0.916410
84,98,True,2,34.746042,18|23,18.711610486891384,18.96938775510204,0.955342902060474,0.9544094895540305,0.9499916647144351,0.9465017636618481,0.935122388756485,True,True,79|19,31|26|13|28,0.954409|0.959224,0.949992|0.951750,0.959950|0.960702|0.946502|0.949371,0.954565|0.955995|0.935122|0.939782
85,107,True,2,36.741804,18|23,18.580524344569287,18.14018691588785,0.9484429711833108,0.9249373065327524,0.9046415131810667,0.9222898959201435,0.9119517108723676,True,True,104|3,32|20|26|29,0.949121|0.924937,0.944513|0.904642,0.961146|0.962206|0.951392|0.922290,0.956329|0.957398|0.943800|0.911952
86,90,True,2,35.258594,18|23,18.711610486891384,18.72222222222222,0.9546668605854033,0.9537992230600025,0.9493371398755821,0.9463222335919675,0.9355774599075027,True,True,77|13,20|29|19|22,0.953799|0.959806,0.949337|0.950098,0.957956|0.961748|0.950058|0.946322,0.952248|0.956846|0.939612|0.935577
87,96,True,2,35.467684,18|23,18.580524344569287,18.677083333333332,0.9528339633659989,0.9527216234179866,0.9433782784580683,0.9379892201806218,0.928703759189371,True,True,83|13,25|20|22|29,0.952722|0.953551,0.948102|0.943378,0.962518|0.961119|0.953865|0.937989,0.956688|0.955488|0.945603|0.928704
88,96,True,2,34.794155,18|23,18.56179775280899,18.9375,0.957326119453208,0.9559927972769992,0.9520149050117658,0.9509483911898261,0.942785735355256,True,True,78|18,32|8|25|31,0.955993|0.963104,0.952015|0.955142,0.960066|0.959127|0.950948|0.959177,0.953995|0.950163|0.942786|0.953344
89,102,True,2,30.114840,17|19,18.55056179775281,18.49019607843137,0.9475102616079514,0.9472988871337243,0.9407027865507118,0.9169881866479191,0.9054822520479051,True,True,26|76,32|23|20|27,0.948128|0.947299,0.942099|0.940703,0.949769|0.969139|0.960228|0.916988,0.944001|0.964433|0.951623|0.905482
90,89,True,1,,19,19.0,19.0,0.9585925912330616,0.9585925912330616,0.9536418155393714,0.9249310233924898,0.9094292398976178,True,True,89,21|32|18|18,0.958593,0.953642,0.971155|0.967726|0.961360|0.924931,0.966858|0.963070|0.953818|0.909429
91,105,True,1,,19,19.0,19.0,0.9582044210201885,0.9582044210201885,0.9539455389432957,0.9340202892777788,0.9225301791976005,True,True,105,32|19|27|27,0.958204,0.953946,0.966887|0.971667|0.962625|0.934020,0.962506|0.968773|0.956841|0.922530
92,100,True,2,34.920501,18|23,18.580524344569287,19.05,0.9529300815371897,0.9517609152726472,0.9472033260336594,0.9474511624978794,0.938030396599168,True,True,79|21,18|21|28|33,0.951761|0.957328,0.947203|0.949370,0.956080|0.959765|0.952236|0.947451,0.948486|0.954724|0.946140|0.938030
